"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.184002700E-2,2.394201700E-3,6.471527100E0,7.264008045E0,9.728642331E0
1.384271900E-2,-1.915361360E-2,6.500257492E0,7.280767441E0,9.760291433E0
1.584041100E-2,-5.985504389E-2,6.512228489E0,7.299921036E0,9.782716885E0
1.784025700E-2,-8.140286058E-2,6.514622688E0,7.307103634E0,9.789826286E0
1.983821900E-2,-1.460463107E-1,6.512228489E0,7.326257229E0,9.803289978E0
2.183775700E-2,-2.202665508E-1,6.560112476E0,7.335834026E0,9.843680913E0
2.383591100E-2,-3.112462163E-1,6.567295074E0,7.371747017E0,9.877696740E0
2.583518000E-2,-4.094084799E-1,6.572083473E0,7.417236805E0,9.918432250E0
2.783352700E-2,-3.711012602E-1,6.557718277E0,7.331045628E0,9.843049077E0
2.983283400E-2,-3.495534360E-1,6.564900875E0,7.283161640E0,9.811450177E0
3.203914200E-2,-3.160346150E-1,6.569689274E0,7.194576263E0,9.747954793E0
3.385656500E-2,-2.801215947E-1,6.593631268E0,7.149086475E0,9.729536414E0
3.585133400E-2,-2.729389966E-1,6.588842869E0,7.134721279E0,9.715533633E0
3.785083400E-2,-2.705447972E-1,6.567295074E0,7.079654217E0,9.660438029E0
3.984883400E-2,-2.825157940E-1,6.543353081E0,7.062894821E0,9.632225494E0
4.184848800E-2,-2.944868207E-1,6.540958881E0,7.046135426E0,9.618674026E0
4.384595000E-2,-3.327940404E-1,6.562506676E0,7.007828236E0,9.606607222E0
4.584529600E-2,-3.567360640E-1,6.555324078E0,6.979097843E0,9.581614743E0
4.784325700E-2,-3.495534360E-1,6.576871872E0,6.950367451E0,9.575230489E0
4.984221900E-2,-3.208230138E-1,6.624756336E0,6.928819656E0,9.591603920E0
5.188741100E-2,-3.136404157E-1,6.643909931E0,6.924031258E0,9.601151928E0
5.388660300E-2,-3.112462163E-1,6.672640324E0,6.916848660E0,9.615809819E0
5.589010300E-2,-2.944868207E-1,6.706159115E0,6.931213856E0,9.648886883E0
5.788968000E-2,-2.657563984E-1,6.722918510E0,6.955155849E0,9.676903051E0
5.988737300E-2,-1.891419291E-1,6.768408298E0,7.022193432E0,9.754912924E0
6.188656500E-2,-1.197100878E-1,6.799532890E0,7.098807812E0,9.830618006E0
6.389268000E-2,-9.576806426E-2,6.816292286E0,7.127538681E0,9.862698398E0
6.589187300E-2,-2.394201700E-3,6.813898087E0,7.175422668E0,9.895246502E0
6.788956500E-2,9.097966552E-2,6.821080685E0,7.225700855E0,9.937110840E0
6.988860300E-2,1.005564705E-1,6.818686485E0,7.228095055E0,9.937301198E0
7.192964200E-2,5.746084079E-2,6.770802498E0,7.175422668E0,9.865787282E0
7.392906500E-2,-9.576806799E-3,6.746860504E0,7.115567684E0,9.805688239E0
7.592621900E-2,-2.633621916E-2,6.730101109E0,7.108384609E0,9.788977795E0
7.792533400E-2,-4.309562966E-2,6.739677906E0,7.110779285E0,9.797361765E0
7.992264200E-2,-6.464344263E-2,6.744466305E0,7.108384609E0,9.799037517E0
8.192144900E-2,-8.379705995E-2,6.746860504E0,7.103596210E0,9.797358202E0
8.391883400E-2,-1.268926859E-1,6.708553314E0,7.074865818E0,9.750616169E0
8.591810300E-2,-1.651999205E-1,6.663063526E0,6.993463039E0,9.660860823E0
8.791548800E-2,-1.819593310E-1,6.629544735E0,6.964732647E0,9.617248746E0
8.991402600E-2,-2.849099934E-1,6.555324078E0,6.883329868E0,9.509662325E0
9.209218000E-2,-4.644751251E-1,6.464344501E0,6.797138691E0,9.391729413E0
9.390968000E-2,-5.530605912E-1,6.452373505E0,6.775590897E0,9.372706752E0
9.590433400E-2,-6.727706790E-1,6.449979305E0,6.758831501E0,9.366784757E0
9.790325700E-2,-7.493851185E-1,6.483498096E0,6.734889507E0,9.378489340E0
9.990060300E-2,-7.565677166E-1,6.517016888E0,6.775590897E0,9.431465200E0
1.018994110E-1,-7.326257229E-1,6.600813866E0,6.876147270E0,9.559753418E0
1.038970650E-1,-6.919242740E-1,6.617573261E0,6.936002254E0,9.611407927E0
1.058963340E-1,-6.153098345E-1,6.651092529E0,7.015010834E0,9.686382969E0
