"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.516678100E-2,2.173662186E-2,-8.240795135E-2,-1.476573944E-1,1.704882908E-1
4.318055100E-2,-8.462786674E-2,-1.388611794E-1,-8.905982971E-2,1.854075409E-1
5.117662700E-2,-1.011726856E-1,-1.521730423E-1,-4.970741272E-2,1.893762762E-1
5.917197400E-2,-1.500649452E-1,-1.164870262E-1,5.809116364E-2,1.986537147E-1
6.721097400E-2,-2.809646130E-1,-2.842235565E-2,1.950244904E-1,3.431960021E-1
7.520558900E-2,-2.805842161E-1,5.574464798E-2,2.538108826E-1,3.824329121E-1
8.327751200E-2,-2.655400038E-1,1.005067825E-1,2.438554764E-1,3.742707580E-1
9.127258900E-2,-2.649655342E-1,2.672448158E-1,2.443132401E-1,4.486819421E-1
9.926874300E-2,-2.310066223E-1,3.926024437E-1,2.746810913E-1,5.319308604E-1
1.072644350E-1,-2.564021349E-1,4.845452309E-1,2.358446121E-1,5.967820512E-1
1.152604350E-1,-2.059112787E-1,5.115776062E-1,2.453269958E-1,6.035697447E-1
1.232997810E-1,-1.986387968E-1,5.664920807E-1,4.075727463E-1,7.255936828E-1
1.312964350E-1,-2.652791739E-1,5.637478828E-1,4.811735153E-1,7.872183098E-1
1.392939730E-1,-3.024988174E-1,5.604739189E-1,4.533777237E-1,7.817850783E-1
1.473361660E-1,-2.302618027E-1,4.750118256E-1,3.764638901E-1,6.483685624E-1
1.553326270E-1,-2.648422718E-1,4.900665283E-1,4.258480072E-1,7.011798317E-1
1.633290500E-1,-3.593490124E-1,4.703850746E-1,4.622030258E-1,7.510162902E-1
1.713255120E-1,-3.757878542E-1,3.531961441E-1,5.781145096E-1,7.747131171E-1
1.793594350E-1,-2.267050743E-1,1.858673096E-1,5.547046661E-1,6.274066577E-1
1.874030880E-1,3.149509430E-4,-5.750226974E-2,2.673406601E-1,2.734550032E-1
1.954010120E-1,2.663583755E-1,-2.420582771E-1,-2.736663818E-2,3.609541891E-1
2.034395880E-1,4.707188606E-1,-3.058443069E-1,3.372478485E-2,5.623649589E-1
2.114385500E-1,1.866114140E-2,-2.480559349E-1,-1.046371460E-2,2.489768551E-1
2.194357040E-1,-6.518697739E-2,-3.851127625E-1,9.722900391E-2,4.025104483E-1
2.274333190E-1,2.280378342E-2,-4.055013657E-1,9.896945953E-2,4.180267025E-1
2.354320500E-1,2.456809282E-1,-4.322676659E-1,1.362705231E-1,5.155425384E-1
2.434697420E-1,4.196969271E-1,-4.153561592E-1,-3.777980804E-2,5.916870486E-1
2.514662810E-1,5.561259389E-1,-3.802285194E-1,-2.891597748E-1,7.331187914E-1
2.594628570E-1,7.087126374E-1,-3.253784180E-1,-5.350871086E-1,9.457605041E-1
2.675221650E-1,7.764432430E-1,-2.447900772E-1,-5.787611008E-1,9.988747185E-1
2.755519340E-1,7.982020378E-1,-1.806192398E-1,-4.941329956E-1,9.559901779E-1
2.835475110E-1,6.630853415E-1,-7.223892212E-2,-4.096574783E-1,7.827642566E-1
2.915423570E-1,5.028234720E-1,-3.730773926E-3,-2.565231323E-1,5.644904606E-1
2.995377420E-1,3.577677608E-1,-1.947212219E-2,-2.367877960E-1,4.294710637E-1
3.075707420E-1,2.265577316E-1,-2.293634415E-2,-2.171030045E-1,3.146238964E-1
3.155657800E-1,2.220109105E-1,-1.154422760E-3,3.635311127E-2,2.249704998E-1
3.235980880E-1,1.977233887E-1,2.695178986E-2,2.767896652E-1,3.412234696E-1
3.315955490E-1,2.070776820E-1,3.523874283E-2,5.101890564E-1,5.517388954E-1
3.395942800E-1,9.782075882E-2,9.167432785E-2,6.690225601E-1,6.823227017E-1
3.475927420E-1,-5.379533768E-2,1.823205948E-1,6.779899597E-1,7.041343076E-1
3.555891260E-1,-1.903553009E-1,3.050003052E-1,5.659246445E-1,6.704707525E-1
3.636207030E-1,-3.453509212E-1,5.491747856E-1,3.229455948E-1,7.246751418E-1
3.716171260E-1,-4.579344988E-1,8.202567101E-1,1.221704483E-1,9.473387430E-1
3.796128570E-1,-6.172629595E-1,1.023085117E0,-7.254600525E-2,1.197071277E0
3.876457800E-1,-5.635045767E-1,1.099676132E0,-1.604537964E-1,1.246021839E0
3.956408950E-1,-7.757709622E-1,1.092359543E0,-2.387895584E-1,1.360915284E0
4.036801650E-1,-8.815777302E-1,7.918338776E-1,-2.027492523E-1,1.202201083E0
