"Frequency (Hz)","Absolute Amplitude (a.u.)"
2.343750000E1,5.974878298E-1
4.687500000E1,4.947921020E-1
7.031250000E1,7.464063390E0
9.375000000E1,1.060993815E0
1.171875000E2,4.670542341E0
1.406250000E2,3.559021913E0
1.640625000E2,2.238518581E0
1.875000000E2,2.258259476E0
2.109375000E2,9.074186742E-1
2.343750000E2,1.163853686E1
2.578125000E2,3.754300312E0
2.812500000E2,1.163733392E0
3.046875000E2,8.409431613E-1
3.281250000E2,9.764626851E-1
3.515625000E2,2.139025387E0
3.750000000E2,2.759876757E0
3.984375000E2,1.692057583E0
4.218750000E2,2.826301467E-1
4.453125000E2,1.984417878E0
4.687500000E2,2.560950790E0
4.921875000E2,9.729539632E-1
5.156250000E2,1.868657680E0
5.390625000E2,2.428873647E0
5.625000000E2,2.698277918E0
5.859375000E2,1.793670926E0
6.093750000E2,2.059998963E0
6.328125000E2,1.409156004E0
6.562500000E2,1.527841499E0
6.796875000E2,2.965853218E0
7.031250000E2,9.786465833E-1
7.265625000E2,7.292380872E-1
7.500000000E2,1.907683769E0
7.734375000E2,6.121370491E-1
7.968750000E2,5.600842901E-1
8.203125000E2,1.485582738E0
8.437500000E2,2.422779089E-1
8.671875000E2,8.264850111E-1
8.906250000E2,1.512156407E0
9.140625000E2,1.719261635E0
9.375000000E2,6.998804154E-1
9.609375000E2,8.059649756E-1
9.843750000E2,7.737731692E-1
1.007812500E3,7.875822974E-1
1.031250000E3,8.316684304E-1
1.054687500E3,1.228514698E0
1.078125000E3,8.736811438E-1
1.101562500E3,1.052816195E0
1.125000000E3,1.211255930E0
1.148437500E3,1.015092360E0
1.171875000E3,6.980320904E-1
1.195312500E3,1.546142812E0
1.218750000E3,1.509110796E0
1.242187500E3,1.926888740E0
1.265625000E3,1.288104661E0
1.289062500E3,1.073160173E0
1.312500000E3,1.647430565E0
1.335937500E3,9.758319023E-1
1.359375000E3,4.800348020E-1
1.382812500E3,3.624209469E-1
1.406250000E3,6.684014893E-1
1.429687500E3,1.114079863E0
1.453125000E3,1.554437254E0
1.476562500E3,1.240790856E-1
1.500000000E3,1.785816087E0
1.523437500E3,6.428139260E-1
1.546875000E3,4.857362104E-1
1.570312500E3,7.885031936E-1
1.593750000E3,9.855927476E-1
1.617187500E3,1.397843066E0
1.640625000E3,1.722335947E0
1.664062500E3,1.834383428E0
1.687500000E3,1.658726569E0
1.710937500E3,1.061868402E0
1.734375000E3,2.133879527E0
1.757812500E3,4.433331227E-1
1.781250000E3,1.192495913E0
1.804687500E3,1.537707684E0
1.828125000E3,1.139377162E0
1.851562500E3,4.167020035E-1
1.875000000E3,9.309534793E-1
1.898437500E3,8.712373015E-1
1.921875000E3,1.331488350E0
1.945312500E3,1.888263277E0
1.968750000E3,5.164902201E-1
1.992187500E3,1.428193776E0
2.015625000E3,6.813358671E-1
2.039062500E3,1.006761833E0
2.062500000E3,3.698882262E-1
2.085937500E3,5.971242449E-1
2.109375000E3,8.560212116E-1
2.132812500E3,2.361373207E-1
2.156250000E3,6.013668286E-1
2.179687500E3,1.245153947E0
2.203125000E3,1.532772172E0
2.226562500E3,5.453625641E-1
2.250000000E3,2.512094017E-1
2.273437500E3,6.803094481E-1
2.296875000E3,6.437096493E-1
2.320312500E3,9.009274259E-1
2.343750000E3,5.361316296E-1
2.367187500E3,6.658577543E-2
2.390625000E3,9.881725679E-1
2.414062500E3,7.884279017E-1
2.437500000E3,1.351091939E0
2.460937500E3,6.403857282E-1
2.484375000E3,3.946220721E-1
2.507812500E3,1.714109904E0
2.531250000E3,3.939586860E-1
2.554687500E3,7.104761424E-1
2.578125000E3,1.657812569E0
2.601562500E3,9.976775044E-1
2.625000000E3,1.291493406E0
2.648437500E3,1.069696185E0
2.671875000E3,1.103635588E0
2.695312500E3,8.353328924E-1
2.718750000E3,9.980550711E-1
2.742187500E3,9.186574922E-1
2.765625000E3,3.748757057E-1
2.789062500E3,2.427309348E-1
2.812500000E3,1.443021971E-1
2.835937500E3,2.088662393E-1
2.859375000E3,3.976028195E-1
2.882812500E3,6.526947454E-1
2.906250000E3,9.870636811E-1
2.929687500E3,7.714057515E-1
2.953125000E3,2.307580403E-1
2.976562500E3,6.638379250E-1
3.000000000E3,3.210060669E-1
3.023437500E3,5.459007964E-1
3.046875000E3,6.057269256E-1
3.070312500E3,3.688725345E-1
3.093750000E3,2.803857351E-1
3.117187500E3,7.942882755E-1
3.140625000E3,2.688674701E-1
3.164062500E3,7.254031187E-1
3.187500000E3,6.993664297E-1
3.210937500E3,3.532358786E-1
