"Time (s)","Peak-Frequency"
0.000000000E0,2.343750000E1
7.317573100E-2,2.397656250E4
2.453635770E-1,9.375000000E1
2.880302437E-1,2.343750000E2
3.306969103E-1,2.343750000E2
3.733635770E-1,2.343750000E2
4.160302437E-1,1.406250000E2
4.586969103E-1,7.031250000E1
5.013635770E-1,1.171875000E2
5.524603070E-1,7.031250000E1
5.951269737E-1,9.375000000E1
6.377936403E-1,7.031250000E1
6.804603070E-1,4.687500000E1
7.231269737E-1,7.031250000E1
7.657936403E-1,9.375000000E1
8.084603070E-1,1.406250000E2
8.511269737E-1,7.031250000E1
8.937936403E-1,4.687500000E1
9.364603070E-1,9.375000000E1
9.791269737E-1,1.171875000E2
1.021793640E0,9.375000000E1
1.064460307E0,4.687500000E1
1.107126974E0,4.687500000E1
1.149793640E0,7.031250000E1
1.192460307E0,7.031250000E1
1.235126974E0,7.031250000E1
1.277793640E0,2.343750000E2
1.320460307E0,2.343750000E2
1.363126974E0,2.343750000E2
1.405793640E0,2.343750000E2
1.448460307E0,2.343750000E2
1.491126974E0,2.343750000E2
1.533793640E0,2.343750000E2
1.576460307E0,2.343750000E2
1.619126974E0,2.343750000E2
1.661793640E0,1.171875000E2
1.704460307E0,4.687500000E1
1.747126974E0,2.343750000E2
1.789793640E0,2.343750000E2
1.832460307E0,2.343750000E2
1.875126974E0,2.343750000E2
1.917793640E0,1.171875000E2
1.960460307E0,7.031250000E1
2.003126974E0,9.375000000E1
2.045793640E0,9.375000000E1
2.088460307E0,7.031250000E1
2.131126974E0,9.375000000E1
2.173793640E0,7.031250000E1
2.216460307E0,7.031250000E1
2.259126974E0,1.171875000E2
2.301793640E0,9.375000000E1
2.344460307E0,1.171875000E2
2.387126974E0,9.375000000E1
2.429793640E0,7.031250000E1
2.472460307E0,7.031250000E1
2.515126974E0,4.687500000E1
2.557793640E0,7.031250000E1
2.600460307E0,1.640625000E2
2.643126974E0,7.031250000E1
2.685793640E0,9.375000000E1
2.728460307E0,1.406250000E2
2.771126974E0,4.687500000E1
2.813793640E0,9.375000000E1
2.856460307E0,4.687500000E1
2.899126974E0,1.171875000E2
2.941793640E0,2.343750000E2
2.984460307E0,2.343750000E2
3.027126974E0,9.375000000E1
3.069793640E0,7.031250000E1
3.112460307E0,2.343750000E2
3.155126974E0,1.171875000E2
3.197793640E0,7.031250000E1
3.240460307E0,7.031250000E1
3.283126974E0,4.687500000E1
3.325793640E0,2.343750000E2
3.368460307E0,2.343750000E2
3.411126974E0,2.343750000E2
3.453793640E0,NaN
3.496460307E0,NaN
