"Time (s)","Recording (a.u.)"
0.000000000E0,1.794433594E-2
2.083333333E-5,1.892089844E-2
4.166666667E-5,1.937866211E-2
6.250000000E-5,2.078247070E-2
8.333333333E-5,2.200317383E-2
1.041666667E-4,2.435302734E-2
1.250000000E-4,2.679443359E-2
1.458333333E-4,2.853393555E-2
1.666666667E-4,2.767944336E-2
1.875000000E-4,2.621459961E-2
2.083333333E-4,2.578735352E-2
2.291666667E-4,2.761840820E-2
2.500000000E-4,3.042602539E-2
2.708333333E-4,3.213500977E-2
2.916666667E-4,3.143310547E-2
3.125000000E-4,2.926635742E-2
3.333333333E-4,2.685546875E-2
3.541666667E-4,2.380371094E-2
3.750000000E-4,1.983642578E-2
3.958333333E-4,1.699829102E-2
4.166666667E-4,1.617431641E-2
4.375000000E-4,1.824951172E-2
4.583333333E-4,2.120971680E-2
4.791666667E-4,2.453613281E-2
5.000000000E-4,2.725219727E-2
5.208333333E-4,2.679443359E-2
5.416666667E-4,2.307128906E-2
5.625000000E-4,1.864624023E-2
5.833333333E-4,1.635742188E-2
6.041666667E-4,1.754760742E-2
6.250000000E-4,2.096557617E-2
6.458333333E-4,2.432250977E-2
6.666666667E-4,2.609252930E-2
6.875000000E-4,2.618408203E-2
7.083333333E-4,2.536010742E-2
7.291666667E-4,2.352905273E-2
7.500000000E-4,2.066040039E-2
7.708333333E-4,1.785278320E-2
7.916666667E-4,1.602172852E-2
8.125000000E-4,1.562500000E-2
8.333333333E-4,1.583862305E-2
8.541666667E-4,1.672363281E-2
8.750000000E-4,1.892089844E-2
8.958333333E-4,2.221679688E-2
9.166666667E-4,2.587890625E-2
9.375000000E-4,2.832031250E-2
9.583333333E-4,2.734375000E-2
9.791666667E-4,2.502441406E-2
1.000000000E-3,2.142333984E-2
1.020833333E-3,1.928710938E-2
1.041666667E-3,1.806640625E-2
1.062500000E-3,1.770019531E-2
1.083333333E-3,1.925659180E-2
1.104166667E-3,2.157592773E-2
1.125000000E-3,2.386474609E-2
1.145833333E-3,2.468872070E-2
1.166666667E-3,2.499389648E-2
1.187500000E-3,2.603149414E-2
1.208333333E-3,2.658081055E-2
1.229166667E-3,2.902221680E-2
1.250000000E-3,3.271484375E-2
1.270833333E-3,3.793334961E-2
1.291666667E-3,4.080200195E-2
1.312500000E-3,3.933715820E-2
1.333333333E-3,3.488159180E-2
1.354166667E-3,2.853393555E-2
1.375000000E-3,2.188110352E-2
1.395833333E-3,1.525878906E-2
1.416666667E-3,1.202392578E-2
1.437500000E-3,1.113891602E-2
1.458333333E-3,1.196289062E-2
1.479166667E-3,1.104736328E-2
1.500000000E-3,5.462646484E-3
1.520833333E-3,-1.464843750E-3
1.541666667E-3,-8.666992188E-3
1.562500000E-3,-1.379394531E-2
1.583333333E-3,-1.495361328E-2
1.604166667E-3,-1.171875000E-2
1.625000000E-3,-5.371093750E-3
1.645833333E-3,3.204345703E-3
1.666666667E-3,1.116943359E-2
1.687500000E-3,1.760864258E-2
1.708333333E-3,2.047729492E-2
1.729166667E-3,2.020263672E-2
1.750000000E-3,1.596069336E-2
1.770833333E-3,1.040649414E-2
1.791666667E-3,4.638671875E-3
1.812500000E-3,6.713867188E-4
1.833333333E-3,-2.044677734E-3
1.854166667E-3,-2.593994141E-3
1.875000000E-3,-3.936767578E-3
1.895833333E-3,-6.927490234E-3
1.916666667E-3,-1.254272461E-2
1.937500000E-3,-1.898193359E-2
1.958333333E-3,-2.429199219E-2
1.979166667E-3,-2.792358398E-2
2.000000000E-3,-2.828979492E-2
2.020833333E-3,-2.661132812E-2
2.041666667E-3,-2.368164062E-2
2.062500000E-3,-2.023315430E-2
2.083333333E-3,-1.776123047E-2
2.104166667E-3,-1.553344727E-2
2.125000000E-3,-1.376342773E-2
2.145833333E-3,-1.168823242E-2
2.166666667E-3,-9.918212891E-3
2.187500000E-3,-9.338378906E-3
2.208333333E-3,-1.049804688E-2
2.229166667E-3,-1.351928711E-2
2.250000000E-3,-1.657104492E-2
2.270833333E-3,-1.797485352E-2
2.291666667E-3,-1.840209961E-2
2.312500000E-3,-1.785278320E-2
2.333333333E-3,-1.657104492E-2
2.354166667E-3,-1.406860352E-2
2.375000000E-3,-1.205444336E-2
2.395833333E-3,-9.216308594E-3
2.416666667E-3,-7.049560547E-3
2.437500000E-3,-4.577636719E-3
