"Time (s)","Sound pressure level (dB)"
0.000000000E0,-∞
2.423532810E-1,-∞
3.542463540E-1,-∞
4.561151560E-1,-∞
5.573313020E-1,-6.749624979E1
6.738827080E-1,-2.341051032E1
7.925940620E-1,-2.287965637E1
9.208738540E-1,-2.150583797E1
1.043810729E0,-2.196718616E1
1.166239114E0,-2.123856119E1
1.283648021E0,-2.139824482E1
1.402656979E0,-2.191311752E1
1.520436770E0,-2.141542476E1
1.634965364E0,-2.166692618E1
1.761626979E0,-2.133105536E1
1.884924427E0,-2.191093494E1
2.018444322E0,-2.189126309E1
2.143550572E0,-2.224982429E1
2.262926145E0,-2.182098232E1
2.381584322E0,-2.181050050E1
2.498419739E0,-2.202524404E1
2.615283853E0,-1.942276318E1
2.736958749E0,-2.121962628E1
2.854396510E0,-2.085095793E1
2.969242447E0,-2.111634741E1
3.086470207E0,-2.388648210E1
3.203083489E0,-2.185830639E1
3.320091718E0,-2.151796660E1
3.434367968E0,-2.196125019E1
3.543752603E0,-2.235568928E1
3.659315259E0,-2.250743379E1
3.774305155E0,-2.120585527E1
3.889201197E0,-2.173941283E1
4.003719478E0,-2.089475207E1
4.120992863E0,-2.175937188E1
4.238401509E0,-2.146300847E1
4.367222446E0,-2.205528655E1
4.484074738E0,-2.070002704E1
4.598597811E0,-2.138830143E1
4.712453644E0,-2.183853632E1
4.828235050E0,-2.185432277E1
4.941578852E0,-2.205833020E1
5.059982863E0,-1.846399375E1
5.177669790E0,-1.889944438E1
5.294399269E0,-1.383210164E1
5.409740415E0,-1.260112923E1
5.525405519E0,-1.594437363E1
5.649635154E0,-1.496155652E1
5.769034477E0,-8.701205003E0
5.884314008E0,-1.028304415E1
6.001474581E0,-1.372714972E1
6.119741769E0,-1.327502276E1
6.233723904E0,-1.017290138E1
6.360712081E0,-1.228014714E1
6.479035571E0,-9.779525810E0
6.594740831E0,-7.136592974E0
6.708528852E0,-6.992161914E0
6.823791768E0,-7.951542401E0
6.945341195E0,-8.365695544E0
7.058817914E0,-8.373692321E0
7.179177706E0,-6.811166513E0
7.292118956E0,-6.367947226E0
7.414345049E0,-8.038987737E0
7.532101091E0,-8.692787979E0
7.649080987E0,-6.572151047E0
7.766942862E0,-9.290260948E0
7.881519685E0,-9.559021718E0
7.997400153E0,-1.051577537E1
8.124966299E0,-7.410495746E0
8.235693695E0,-9.998856649E0
8.354928903E0,-1.008347333E1
8.485441195E0,-7.752550507E0
8.599492914E0,-1.512622319E1
8.715366768E0,-1.188209000E1
8.837356768E0,-1.485422625E1
8.961652966E0,-1.290914840E1
9.081440934E0,-7.079701902E0
9.205607861E0,-5.868674723E0
9.321738226E0,-1.092660649E1
9.450963330E0,-1.172915948E1
9.580156976E0,-7.321214666E0
9.708048069E0,-7.952454114E0
9.840186715E0,-7.521204236E0
9.973140153E0,-7.767010418E0
1.009417437E1,-8.234958777E0
1.022651046E1,-8.052571872E0
1.035235672E1,-1.630307700E1
1.047565474E1,-1.497627155E1
1.060357786E1,-8.295686354E0
1.073105036E1,-1.796196103E1
1.084465448E1,-7.598840912E0
1.097100880E1,-8.906750112E0
1.109682099E1,-1.791068074E1
1.122864724E1,-1.753460797E1
1.135439765E1,-1.488775017E1
1.148262437E1,-1.075363580E1
1.160697322E1,-8.987033933E0
1.172957718E1,-1.564155966E1
1.185444739E1,-1.130262899E1
1.198254348E1,-1.253074183E1
1.210683046E1,-1.064813243E1
1.223531005E1,-9.959478710E0
1.236507374E1,-1.556054519E1
1.248234651E1,-1.018713721E1
1.261165724E1,-1.263843896E1
1.273879645E1,-1.177879567E1
1.286713572E1,-1.701869899E1
1.299411484E1,-1.605434768E1
1.311288135E1,-1.376809132E1
1.323069624E1,-9.804639658E0
1.334665739E1,-7.144129702E0
1.346210291E1,-5.865800845E0
1.359285765E1,-7.258619532E0
1.371932776E1,-6.875130362E0
1.385208447E1,-6.369169282E0
1.397554432E1,-7.776116168E0
1.409647900E1,-7.707319869E0
1.422501531E1,-7.485573092E0
1.434711322E1,-6.256391449E0
1.447605666E1,-6.631629486E0
1.461083385E1,-9.290905154E0
1.473672765E1,-7.185844571E0
1.486687557E1,-9.331013940E0
1.497565635E1,-6.070603064E0
1.510576385E1,-1.022745300E1
1.523552015E1,-1.494135020E1
1.536538781E1,-1.776235883E1
1.548642682E1,-2.033883501E1
1.560721526E1,-1.935773966E1
1.573248307E1,-1.942842600E1
1.585428968E1,-1.966278438E1
1.597563187E1,-2.052177236E1
1.609886661E1,-2.133036967E1
1.621588359E1,-1.707689797E1
1.634064052E1,-1.769921896E1
1.646552223E1,-1.768894622E1
1.659017848E1,-1.944935807E1
1.672176244E1,-2.037244658E1
1.683874025E1,-2.030509231E1
1.696702265E1,-2.050775033E1
