"Time (s)","Acceleration (m/s²)"
2.720388800E-2,-1.414589882E-1
6.719096500E-2,-9.820880890E-1
1.070929650E-1,-1.649866581E0
1.470323490E-1,-1.550345898E0
1.869755420E-1,-1.044197083E-1
2.269475800E-1,-7.504186630E-1
2.669751570E-1,1.684236526E-1
3.069321180E-1,-2.837436676E0
3.468558100E-1,-5.910420418E-1
3.868071950E-1,-1.335438728E0
4.267493480E-1,-2.808679581E0
4.666957710E-1,-5.469775200E0
5.066648480E-1,-8.317513466E0
5.466046940E-1,-5.342910767E0
5.865371550E-1,1.464121819E0
6.265068860E-1,6.285943985E-1
6.664516940E-1,-6.182775497E-1
7.064186930E-1,-1.710238457E0
7.464079240E-1,4.566799164E0
7.863484620E-1,1.053698444E1
8.262756160E-1,5.220027924E0
8.662246930E-1,2.605756760E0
9.061690390E-1,1.241940594E1
9.461223080E-1,8.516036034E0
9.860943850E-1,-3.587636948E-1
1.026049308E0,-7.120447159E-1
1.065997154E0,6.285486221E0
1.105948192E0,4.415011406E0
1.145891461E0,2.021752357E0
1.185840999E0,6.815994263E0
1.225801191E0,5.290459633E0
1.265753537E0,1.322818756E0
1.305685114E0,2.393583298E0
1.345623806E0,3.438963890E0
1.385563806E0,2.340390205E0
1.425532306E0,1.242123604E0
1.465519498E0,-1.171280861E0
1.505482806E0,4.739093781E-1
1.545450690E0,-7.311277390E-1
1.585414921E0,-1.947777271E0
1.625355767E0,3.537864685E-1
1.665332190E0,4.277248383E-1
1.705299382E0,-8.488254547E-1
1.745275959E0,3.343629837E-1
1.785239805E0,-1.153247833E0
1.825183343E0,-3.374372959E0
1.865131843E0,-1.316725731E0
1.905078112E0,-1.884906292E0
1.945083804E0,-1.537220955E0
1.984975496E0,-1.063397408E0
2.024865034E0,2.131023407E-1
2.064832342E0,-7.868614197E-1
2.104791150E0,-1.197257996E0
2.144785726E0,-6.315574646E-1
2.184724226E0,-9.588637352E-1
2.224699957E0,1.920791626E0
2.264637072E0,-1.508399963E0
2.304610880E0,1.360449791E0
2.344569110E0,2.705008984E0
2.384540918E0,-3.386158943E-1
2.424526995E0,4.129118919E-1
2.464472033E0,2.292890549E-1
2.504423148E0,-7.626104355E-1
2.544370148E0,-6.988830566E-1
2.584299648E0,-5.453076363E-1
2.624252725E0,-1.496958256E0
