"Time (s)","Pressure (hPa)","Altitude (m)","Time (velocity) (s)","Velocity (m/s)"
7.173042000E-3,1.005984070E3,0.000000000E0,8.709513800E-2,-1.135153103E0
1.670172340E-1,1.006005737E3,-1.814476305E-1,6.670172340E-1,-6.650253653E-1
1.167017234E0,1.006085154E3,-8.464729957E-1,1.667017234E0,-1.602232745E-1
2.167017234E0,1.006104289E3,-1.006696270E0,2.667017234E0,5.518053715E-1
3.167017234E0,1.006038391E3,-4.548908987E-1,3.667017234E0,1.396717005E0
4.167017234E0,1.005871608E3,9.418261065E-1,4.667017234E0,2.230919400E-1
5.167017234E0,1.005844971E3,1.164918047E0,5.667017234E0,-1.317998721E0
6.167017234E0,1.006002350E3,-1.530806744E-1,6.667017234E0,1.120002864E0
7.167017234E0,1.005868612E3,9.669221896E-1,7.667017234E0,6.023484985E-1
8.167017234E0,1.005796692E3,1.569270688E0,8.667017234E0,5.119810425E-1
9.167017234E0,1.005735565E3,2.081251731E0,9.667017234E0,-8.112852990E-1
1.016701723E1,1.005832428E3,1.269966432E0,1.066701723E1,-5.219087714E-1
1.116701723E1,1.005894745E3,7.480576603E-1,1.166701723E1,-2.296914431E-1
1.216701723E1,1.005922171E3,5.183662172E-1,1.266701723E1,-6.674431408E-1
1.316701723E1,1.006001872E3,-1.490769236E-1,1.366701723E1,-3.129694034E-1
1.416701723E1,1.006039246E3,-4.620463270E-1,NaN,NaN
