"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
7.650383000E-3,-2.321287990E-2,-9.101892263E-2,-1.954768747E-1,2.168743660E-1
9.650998000E-3,-2.321287990E-2,-9.101892263E-2,-1.954768747E-1,2.168743660E-1
1.164961400E-2,-2.321287990E-2,-9.101892263E-2,-1.954768747E-1,2.168743660E-1
1.365034400E-2,-2.321287990E-2,-9.101892263E-2,-1.954768747E-1,2.168743660E-1
1.564953700E-2,-2.321287990E-2,-9.101892263E-2,-1.954768747E-1,2.168743660E-1
1.764988300E-2,-2.321287990E-2,-9.101892263E-2,-1.954768747E-1,2.168743660E-1
1.964853700E-2,-2.321287990E-2,-9.101892263E-2,-1.954768747E-1,2.168743660E-1
2.164857500E-2,-2.321287990E-2,-9.101892263E-2,-1.954768747E-1,2.168743660E-1
2.364765200E-2,-2.321287990E-2,-9.101892263E-2,-1.954768747E-1,2.168743660E-1
2.566784400E-2,-2.321287990E-2,-9.101892263E-2,-1.954768747E-1,2.168743660E-1
2.766361400E-2,-2.321287990E-2,-9.101892263E-2,-1.954768747E-1,2.168743660E-1
2.966361400E-2,-2.321287990E-2,-9.101892263E-2,-1.954768747E-1,2.168743660E-1
3.166249800E-2,-2.321287990E-2,-9.101892263E-2,-1.954768747E-1,2.168743660E-1
3.366253700E-2,-2.321287990E-2,-9.101892263E-2,-1.954768747E-1,2.168743660E-1
3.566111400E-2,-2.321287990E-2,-9.101892263E-2,-1.954768747E-1,2.168743660E-1
3.766149800E-2,-2.321287990E-2,-9.101892263E-2,-1.954768747E-1,2.168743660E-1
3.966034400E-2,-2.321287990E-2,-9.101892263E-2,-1.954768747E-1,2.168743660E-1
4.166076700E-2,-2.321287990E-2,-9.101892263E-2,-1.954768747E-1,2.168743660E-1
4.365969000E-2,-2.321287990E-2,-9.101892263E-2,-1.954768747E-1,2.168743660E-1
4.567684400E-2,-2.321287990E-2,-9.101892263E-2,-1.954768747E-1,2.168743660E-1
4.767319000E-2,-2.321287990E-2,-9.101892263E-2,-1.954768747E-1,2.168743660E-1
4.967322900E-2,-2.321287990E-2,-9.101892263E-2,-1.954768747E-1,2.168743660E-1
5.167865200E-2,-2.321287990E-2,-9.101892263E-2,-1.954768747E-1,2.168743660E-1
5.371984400E-2,-2.321287990E-2,-9.101892263E-2,-1.954768747E-1,2.168743660E-1
5.571530600E-2,-2.321287990E-2,-9.101892263E-2,-1.954768747E-1,2.168743660E-1
5.771515200E-2,-2.321287990E-2,-9.101892263E-2,-1.954768747E-1,2.168743660E-1
5.972130600E-2,-2.321287990E-2,-9.101892263E-2,-1.954768747E-1,2.168743660E-1
6.172149800E-2,-2.321287990E-2,-9.101892263E-2,-1.954768747E-1,2.168743660E-1
6.372003700E-2,-2.321287990E-2,-9.101892263E-2,-1.954768747E-1,2.168743660E-1
6.575492100E-2,-2.321287990E-2,-9.101892263E-2,-1.954768747E-1,2.168743660E-1
6.775069000E-2,-2.321287990E-2,-9.101892263E-2,-1.954768747E-1,2.168743660E-1
6.975061300E-2,-2.321287990E-2,-9.101892263E-2,-1.954768747E-1,2.168743660E-1
7.174949800E-2,-2.229658216E-1,-1.280373573E0,-4.636467099E-1,1.379869021E0
7.374972900E-2,-1.740965992E-1,-1.243721604E0,-4.850270152E-1,1.346255645E0
7.574849800E-2,-8.735372871E-2,-1.183856845E0,-5.271766782E-1,1.298869875E0
7.774849800E-2,-1.160643995E-2,-1.136820197E0,-5.748242140E-1,1.273937890E0
7.974680600E-2,2.321287990E-2,-1.120326877E0,-5.980370641E-1,1.270165138E0
8.174680600E-2,8.063421398E-2,-1.097724795E0,-6.426302195E-1,1.274549019E0
8.374546000E-2,1.246165112E-1,-1.087340117E0,-6.945537925E-1,1.296241789E0
8.576207500E-2,1.386664063E-1,-1.086729288E0,-7.250970602E-1,1.313763550E0
8.775776700E-2,1.588249654E-1,-1.089783549E0,-7.794640660E-1,1.349228589E0
8.975730600E-2,1.618792862E-1,-1.093448758E0,-8.216137290E-1,1.377274196E0
9.175576700E-2,1.539380401E-1,-1.093448758E0,-8.362745047E-1,1.385165028E0
9.375538300E-2,1.282816976E-1,-1.099557400E0,-8.710938692E-1,1.408647294E0
9.575388300E-2,8.368854225E-2,-1.116050839E0,-9.053022861E-1,1.439494869E0
9.775369000E-2,5.558873713E-2,-1.134376764E0,-9.248499870E-1,1.464666600E0
9.975188300E-2,-1.221730467E-2,-1.186911225E0,-9.847147465E-1,1.542261538E0
1.017519980E-1,-8.735372871E-2,-1.263880134E0,-1.053131700E0,1.647455627E0
1.037505750E-1,-1.325577646E-1,-1.305419087E0,-1.076955438E0,1.697505101E0
1.057694590E-1,-2.254092693E-1,-1.403157473E0,-1.102000952E0,1.798351003E0
1.077741130E-1,-3.286454976E-1,-1.515556693E0,-1.114218235E0,1.909555505E0
1.097743830E-1,-3.799581826E-1,-1.586417079E0,-1.120937705E0,1.979289950E0
1.117730750E-1,-4.880813360E-1,-1.743409395E0,-1.116050839E0,2.126797871E0
1.137732670E-1,-5.980370641E-1,-1.928501606E0,-1.102611780E0,2.300547655E0
1.157721520E-1,-6.493497491E-1,-2.032959461E0,-1.099557400E0,2.400751079E0
1.177725750E-1,-7.489207983E-1,-2.266309977E0,-1.083064079E0,2.621082042E0
1.197716900E-1,-7.929030657E-1,-2.390315771E0,-1.069625020E0,2.736129098E0
1.217718440E-1,-8.741481900E-1,-2.657874584E0,-1.040303469E0,2.985073478E0
1.237699210E-1,-9.401215911E-1,-2.927877188E0,-1.015868902E0,3.238561881E0
1.258016130E-1,-9.755517840E-1,-3.052493572E0,-1.001819015E0,3.357537733E0
