"t (s)","Tilt up/down (deg)","Tilt left/right (deg)"
7.769934700E-2,4.205659268E1,3.254420418E1
5.776993470E-1,3.940274645E1,3.156635993E1
1.077699347E0,3.875451091E1,3.069833465E1
1.577699347E0,2.973262115E1,8.894890829E0
2.077699347E0,-6.310409578E-1,7.209731279E0
2.577699347E0,5.311737154E1,1.454071218E1
3.077699347E0,8.749161312E1,7.476872258E1
3.577699347E0,1.150120235E2,1.632543899E2
4.077699347E0,3.800400979E1,1.124579906E0
4.577699347E0,3.442198115E0,2.180788736E0
5.077699347E0,-2.622639387E0,-9.842150373E-1
5.577699347E0,-2.623644208E0,-1.645020508E0
6.577699347E0,-1.168019289E0,-2.193939461E0
6.577699347E0,-1.168019289E0,-2.193939461E0
7.577699347E0,4.367813030E-1,-2.037492958E0
7.577699347E0,4.367813030E-1,-2.037492958E0
8.577699347E0,1.071202593E1,1.820436291E0
9.077699347E0,1.683371127E1,1.316179778E0
9.577699347E0,2.145938695E1,1.769247500E-2
1.007769935E1,2.602397370E1,-8.975105904E-1
1.057769935E1,2.866891669E1,-2.053459049E-1
1.107769935E1,3.221758288E1,1.561182370E0
1.157769935E1,3.589310933E1,1.899246712E0
1.207769935E1,3.849156724E1,1.422885994E0
1.257769935E1,4.233348787E1,2.200388147E0
1.307769935E1,4.626495862E1,2.662249194E0
1.357769935E1,5.000838087E1,3.562236826E0
1.407769935E1,5.266139103E1,5.123755382E0
1.457769935E1,5.517918355E1,6.340823099E0
1.507769935E1,5.874278051E1,6.277365847E0
1.557769935E1,6.136750605E1,8.105677620E0
1.607769935E1,6.422037045E1,1.033828483E1
1.657769935E1,6.615041291E1,1.262525849E1
1.707769935E1,6.831188952E1,1.315223206E1
1.757769935E1,7.151430688E1,1.359309307E1
1.807769935E1,7.636551362E1,1.520286581E1
1.857769935E1,8.031979830E1,2.131460329E1
1.907769935E1,8.460028443E1,3.626964522E1
1.957769935E1,8.738009915E1,5.952826530E1
2.007769935E1,9.000325980E1,9.005518119E1
2.057769935E1,9.352993343E1,1.453179163E2
2.107769935E1,9.892576202E1,1.618321674E2
2.157769935E1,1.004129329E2,1.648334887E2
2.207769935E1,1.034190692E2,1.634390708E2
2.257769935E1,1.070924826E2,1.669302737E2
2.307769935E1,1.092745466E2,1.713999275E2
2.357769935E1,1.185248136E2,1.724537341E2
2.407769935E1,1.213663150E2,1.769272717E2
2.457769935E1,1.239339773E2,1.799324243E2
2.507769935E1,1.269731159E2,-1.793891784E2
2.557769935E1,1.328247103E2,-1.788392707E2
2.607769935E1,1.360476935E2,-1.777067599E2
2.657769935E1,1.426468116E2,-1.779791916E2
2.707769935E1,1.475366886E2,-1.787046396E2
2.757769935E1,1.546470859E2,-1.780549167E2
2.807769935E1,1.602735051E2,-1.776520655E2
2.857769935E1,1.662185532E2,-1.757522658E2
2.907769935E1,1.675163499E2,-1.751002439E2
2.957769935E1,1.228576422E2,1.783226726E2
3.007769935E1,8.121658384E1,2.388025644E1
3.057769935E1,7.248963938E1,-2.562825515E-1
3.107769935E1,7.004994805E1,2.121224654E0
3.157769935E1,6.766007504E1,-4.357119069E-1
3.207769935E1,6.472936660E1,-5.183205891E0
