"t (s)","Inclination (deg)","Rotation (deg)"
7.769934700E-2,4.785762060E1,3.527318780E1
5.776993470E-1,4.573048900E1,3.679294976E1
1.077699347E0,4.495481428E1,3.648800143E1
1.577699347E0,3.063398647E1,1.532397805E1
2.077699347E0,7.236718545E0,9.497604277E1
2.577699347E0,5.362731795E1,1.101333880E1
3.077699347E0,8.752342237E1,9.140078557E0
3.577699347E0,1.147984859E2,7.990996290E0
4.077699347E0,3.801277905E1,1.439071179E0
4.577699347E0,4.072067781E0,3.233743977E1
5.077699347E0,2.800752323E0,-1.594413780E2
5.577699347E0,3.095488075E0,-1.479233015E2
6.577699347E0,2.484949642E0,-1.180218172E2
6.577699347E0,2.484949642E0,-1.180218172E2
7.577699347E0,2.083706792E0,-7.790524302E1
7.577699347E0,2.083706792E0,-7.790524302E1
8.577699347E0,1.085862327E1,9.537475587E0
9.077699347E0,1.687942524E1,4.342576778E0
9.577699347E0,2.145939297E1,4.500848919E-2
1.007769935E1,2.603559736E1,-1.837736790E0
1.057769935E1,2.866943478E1,-3.755517407E-1
1.107769935E1,3.224173582E1,2.476499066E0
1.157769935E1,3.592165091E1,2.623497477E0
1.207769935E1,3.850517838E1,1.789139550E0
1.257769935E1,4.235883654E1,2.415114243E0
1.307769935E1,4.629325379E1,2.547372440E0
1.357769935E1,5.004679032E1,2.989324621E0
1.407769935E1,5.272585805E1,3.913072299E0
1.457769935E1,5.525912983E1,4.419711125E0
1.507769935E1,5.879927590E1,3.819930739E0
1.557769935E1,6.144007565E1,4.446139223E0
1.607769935E1,6.430702083E1,5.035090506E0
1.657769935E1,6.625361957E1,5.655149728E0
1.707769935E1,6.839635226E1,5.309351663E0
1.757769935E1,7.157034468E1,4.621586812E0
1.807769935E1,7.639393906E1,3.771244460E0
1.857769935E1,8.034076418E1,3.807732545E0
1.907769935E1,8.461314886E1,3.967501039E0
1.957769935E1,8.738797506E1,4.446886045E0
2.007769935E1,9.000325413E1,3.380792225E0
2.057769935E1,9.352673005E1,2.444220464E0
2.107769935E1,9.891412070E1,2.950406099E0
2.157769935E1,1.004003193E2,2.851731997E0
2.207769935E1,1.033866353E2,4.058235826E0
2.257769935E1,1.070516173E2,4.083157969E0
2.307769935E1,1.092496274E2,3.027384663E0
2.357769935E1,1.184627043E2,4.118295454E0
2.407769935E1,1.213526899E2,1.874251680E0
2.457769935E1,1.239339690E2,4.546719369E-2
2.507769935E1,1.269722292E2,-4.598454247E-1
2.557769935E1,1.328196748E2,-1.075798105E0
2.607769935E1,1.360230163E2,-2.378582550E0
2.657769935E1,1.426173120E2,-2.646801977E0
2.707769935E1,1.475203054E2,-2.035674618E0
2.757769935E1,1.545902383E2,-4.099606172E0
2.807769935E1,1.601549661E2,-6.523318757E0
2.857769935E1,1.656256666E2,-1.684678680E1
2.907769935E1,1.666445135E2,-2.116678444E1
2.957769935E1,1.228529727E2,1.083534036E0
3.007769935E1,8.123674454E1,3.913308545E0
3.057769935E1,7.248965575E1,-8.085701645E-2
3.107769935E1,7.005160867E1,7.702747039E-1
3.157769935E1,6.766017341E1,-1.790561297E-1
3.207769935E1,6.474962207E1,-2.452039375E0
