"t (s)","Tilt up/down (deg)","Tilt left/right (deg)"
7.769934700E-2,5.472681219E1,5.745579582E1
5.776993470E-1,5.320705024E1,5.843364006E1
1.077699347E0,5.351199857E1,5.930166535E1
1.577699347E0,7.467602194E1,8.110510917E1
2.077699347E0,-4.976042772E0,8.279026872E1
2.577699347E0,7.898666119E1,7.545928782E1
3.077699347E0,8.085992144E1,1.523127741E1
3.577699347E0,8.200900370E1,-7.325438989E1
4.077699347E0,8.856092882E1,8.887542009E1
4.577699347E0,5.766256023E1,8.781921126E1
5.077699347E0,-1.105586219E2,9.098421503E1
5.577699347E0,-1.220766984E2,9.164502050E1
6.577699347E0,-1.519781828E2,9.219393946E1
6.577699347E0,-1.519781828E2,9.219393946E1
7.577699347E0,1.679052430E2,9.203749295E1
7.577699347E0,1.679052430E2,9.203749295E1
8.577699347E0,8.046252441E1,8.817956370E1
9.077699347E0,8.565742322E1,8.868382022E1
9.577699347E0,8.995499151E1,8.998230752E1
1.007769935E1,9.183773679E1,9.089751059E1
1.057769935E1,9.037555174E1,9.020534590E1
1.107769935E1,8.752350093E1,8.843881762E1
1.157769935E1,8.737650252E1,8.810075328E1
1.207769935E1,8.821086045E1,8.857711400E1
1.257769935E1,8.758488575E1,8.779961185E1
1.307769935E1,8.745262756E1,8.733775080E1
1.357769935E1,8.701067537E1,8.643776317E1
1.407769935E1,8.608692770E1,8.487624461E1
1.457769935E1,8.558028887E1,8.365917690E1
1.507769935E1,8.618006926E1,8.372263415E1
1.557769935E1,8.555386077E1,8.189432238E1
1.607769935E1,8.496490949E1,7.966171517E1
1.657769935E1,8.434485027E1,7.737474151E1
1.707769935E1,8.469064833E1,7.684776794E1
1.757769935E1,8.537841318E1,7.640690692E1
1.807769935E1,8.622875553E1,7.479713418E1
1.857769935E1,8.619226745E1,6.868539671E1
1.907769935E1,8.603249896E1,5.373035477E1
1.957769935E1,8.555311395E1,3.047173469E1
2.007769935E1,8.661920777E1,-5.518119926E-2
2.057769935E1,8.755577953E1,-5.531791630E1
2.107769935E1,8.704959390E1,-7.183216740E1
2.157769935E1,8.714826800E1,-7.483348869E1
2.207769935E1,8.594176417E1,-7.343907085E1
2.257769935E1,8.591684203E1,-7.693027375E1
2.307769935E1,8.697261533E1,-8.139992746E1
2.357769935E1,8.588170454E1,-8.245373412E1
2.407769935E1,8.812574831E1,-8.692727170E1
2.457769935E1,8.995453280E1,-8.993242429E1
2.507769935E1,9.045984542E1,-9.061082157E1
2.557769935E1,9.107579810E1,-9.116072931E1
2.607769935E1,9.237858255E1,-9.229324008E1
2.657769935E1,9.264680197E1,-9.202080842E1
2.707769935E1,9.203567461E1,-9.129536039E1
2.757769935E1,9.409960617E1,-9.194508327E1
2.807769935E1,9.652331875E1,-9.234793448E1
2.857769935E1,1.068467868E2,-9.424773417E1
2.907769935E1,1.111667844E2,-9.489975604E1
2.957769935E1,8.891646596E1,-8.832267256E1
3.007769935E1,8.608669145E1,6.611974356E1
3.057769935E1,9.008085701E1,9.025628255E1
3.107769935E1,8.922972529E1,8.787877534E1
3.157769935E1,9.017905612E1,9.043571190E1
3.207769935E1,9.245203937E1,9.518320589E1
