"t (s)","Tilt up/down (deg)","Tilt left/right (deg)"
7.769934700E-2,4.794340731E1,3.527318780E1
5.776993470E-1,5.059725354E1,3.679294976E1
1.077699347E0,5.124548909E1,3.648800143E1
1.577699347E0,6.026737885E1,1.532397805E1
2.077699347E0,9.063104095E1,9.497604277E1
2.577699347E0,3.688262846E1,1.101333880E1
3.077699347E0,2.508386874E0,9.140078557E0
3.577699347E0,-2.501202355E1,7.990996290E0
4.077699347E0,5.199599021E1,1.439071179E0
4.577699347E0,8.655780188E1,3.233743977E1
5.077699347E0,9.262263938E1,-1.594413780E2
5.577699347E0,9.262364420E1,-1.479233015E2
6.577699347E0,9.116801928E1,-1.180218172E2
6.577699347E0,9.116801928E1,-1.180218172E2
7.577699347E0,8.956321869E1,-7.790524302E1
7.577699347E0,8.956321869E1,-7.790524302E1
8.577699347E0,7.928797406E1,9.537475587E0
9.077699347E0,7.316628872E1,4.342576778E0
9.577699347E0,6.854061305E1,4.500848919E-2
1.007769935E1,6.397602629E1,-1.837736790E0
1.057769935E1,6.133108330E1,-3.755517407E-1
1.107769935E1,5.778241712E1,2.476499066E0
1.157769935E1,5.410689066E1,2.623497477E0
1.207769935E1,5.150843276E1,1.789139550E0
1.257769935E1,4.766651212E1,2.415114243E0
1.307769935E1,4.373504138E1,2.547372440E0
1.357769935E1,3.999161913E1,2.989324621E0
1.407769935E1,3.733860896E1,3.913072299E0
1.457769935E1,3.482081645E1,4.419711125E0
1.507769935E1,3.125721949E1,3.819930739E0
1.557769935E1,2.863249394E1,4.446139223E0
1.607769935E1,2.577962954E1,5.035090506E0
1.657769935E1,2.384958708E1,5.655149728E0
1.707769935E1,2.168811048E1,5.309351663E0
1.757769935E1,1.848569311E1,4.621586812E0
1.807769935E1,1.363448638E1,3.771244460E0
1.857769935E1,9.680201699E0,3.807732545E0
1.907769935E1,5.399715569E0,3.967501039E0
1.957769935E1,2.619900848E0,4.446886045E0
2.007769935E1,-3.259804501E-3,3.380792225E0
2.057769935E1,-3.529933437E0,2.444220464E0
2.107769935E1,-8.925762024E0,2.950406099E0
2.157769935E1,-1.041293291E1,2.851731997E0
2.207769935E1,-1.341906924E1,4.058235826E0
2.257769935E1,-1.709248257E1,4.083157969E0
2.307769935E1,-1.927454662E1,3.027384663E0
2.357769935E1,-2.852481358E1,4.118295454E0
2.407769935E1,-3.136631501E1,1.874251680E0
2.457769935E1,-3.393397734E1,4.546719369E-2
2.507769935E1,-3.697311586E1,-4.598454247E-1
2.557769935E1,-4.282471034E1,-1.075798105E0
2.607769935E1,-4.604769349E1,-2.378582550E0
2.657769935E1,-5.264681164E1,-2.646801977E0
2.707769935E1,-5.753668860E1,-2.035674618E0
2.757769935E1,-6.464708586E1,-4.099606172E0
2.807769935E1,-7.027350515E1,-6.523318757E0
2.857769935E1,-7.621855319E1,-1.684678680E1
2.907769935E1,-7.751634989E1,-2.116678444E1
2.957769935E1,-3.285764225E1,1.083534036E0
3.007769935E1,8.783416155E0,3.913308545E0
3.057769935E1,1.751036062E1,-8.085701645E-2
3.107769935E1,1.995005195E1,7.702747039E-1
3.157769935E1,2.233992495E1,-1.790561297E-1
3.207769935E1,2.527063339E1,-2.452039375E0
