"Time (s)","Illuminance (lx)"
0.000000000E0,1.055000019E1
2.244014260E-1,1.083750057E1
5.220575720E-1,1.197500038E1
8.197552800E-1,1.226249981E1
1.117355541E0,1.340000057E1
1.414937988E0,1.368750000E1
1.712457363E0,2.795000076E1
2.009960541E0,1.283750057E1
2.307457728E0,3.424999952E0
2.604908093E0,4.275000095E0
2.803241478E0,4.849999905E0
3.100752520E0,4.849999905E0
3.398276374E0,4.849999905E0
3.695805020E0,4.562500000E0
3.993362363E0,9.125000000E0
4.290994238E0,1.426249981E1
4.588638770E0,1.255000019E1
4.886262363E0,1.026249981E1
5.183889863E0,8.550000191E0
5.481519759E0,6.562500000E0
5.779118301E0,2.850000143E0
6.076775258E0,1.425000072E0
6.374437810E0,5.749999881E-1
6.672076612E0,8.500000238E-1
6.969698175E0,8.500000238E-1
7.267348070E0,1.425000072E0
7.564992914E0,1.137500048E0
7.862626300E0,2.000000000E0
8.061047550E0,2.850000143E0
8.259462914E0,6.849999905E0
8.557090310E0,8.837500572E0
8.854716612E0,6.562500000E0
9.152365987E0,4.275000095E0
9.449968435E0,4.562500000E0
9.747596820E0,4.562500000E0
1.004516724E1,4.849999905E0
1.034271594E1,4.275000095E0
1.064033984E1,4.275000095E0
1.093794630E1,4.562500000E0
1.123559390E1,5.137500286E0
1.153321750E1,5.137500286E0
1.183083396E1,5.425000191E0
1.212845562E1,5.425000191E0
1.242610422E1,5.425000191E0
1.272374630E1,4.849999905E0
1.302138172E1,5.137500286E0
1.321980776E1,4.849999905E0
1.341820604E1,5.137500286E0
1.361659989E1,6.849999905E0
1.381500312E1,7.125000000E0
1.411260515E1,5.700000286E0
1.441022750E1,5.137500286E0
1.470788646E1,4.562500000E0
1.500558151E1,4.562500000E0
1.530328182E1,4.275000095E0
1.560099713E1,4.849999905E0
1.589871166E1,4.849999905E0
1.619638307E1,4.562500000E0
1.649407776E1,4.849999905E0
1.679168880E1,5.137500286E0
1.708930729E1,4.849999905E0
1.738692385E1,4.849999905E0
1.768451161E1,4.275000095E0
1.798208276E1,4.849999905E0
1.827969109E1,4.562500000E0
1.847809359E1,4.275000095E0
1.867649437E1,4.562500000E0
1.897405776E1,4.275000095E0
1.927165656E1,3.987499952E0
1.956927932E1,4.275000095E0
1.986689208E1,4.275000095E0
2.016449083E1,4.562500000E0
2.046207698E1,5.137500286E0
2.075968547E1,5.137500286E0
2.105731328E1,4.849999905E0
2.135500255E1,4.849999905E0
2.165268818E1,1.312500000E1
2.195038318E1,1.255000019E1
2.224808041E1,6.849999905E0
2.254579838E1,5.425000191E0
2.284349640E1,3.137500048E0
2.314116474E1,2.000000000E0
2.343887588E1,2.000000000E0
2.363734318E1,1.712499976E0
2.383581510E1,1.425000072E0
2.403430125E1,1.712499976E0
2.433198687E1,1.712499976E0
2.462965385E1,1.712499976E0
2.492732703E1,2.287500143E0
2.512576833E1,2.000000000E0
2.532419906E1,1.712499976E0
2.552263609E1,1.712499976E0
2.572107515E1,2.000000000E0
2.591951385E1,2.287500143E0
2.611793635E1,7.412499905E0
2.631636370E1,1.112500000E1
2.651476640E1,1.197500038E1
2.671319458E1,1.312500000E1
2.691160682E1,1.397500038E1
2.710999338E1,1.540000057E1
2.730837182E1,1.540000057E1
