"Time (s)","Latitude (°)","Longitude (°)","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
1.130291221E1,1.806420960E1,-6.656759820E1,1.133143502E2,6.880000305E1,NaN,NaN,0.000000000E0,9.290000153E1,8.745635033E0,0.000000000E0
1.249668707E1,1.806420960E1,-6.656759820E1,1.133143502E2,6.880000305E1,NaN,NaN,2.296937040E-2,1.012509995E2,1.041583443E1,0.000000000E0
1.994066751E1,1.806422983E1,-6.656781443E1,1.145147451E2,7.000000000E1,0.000000000E0,NaN,3.268362447E-2,1.683673477E1,1.700000000E1,1.100000000E1
2.092970353E1,1.806418897E1,-6.656789565E1,1.155144412E2,7.100000000E1,9.399999976E-1,1.553000031E2,4.192984818E-2,1.683673477E1,1.800000000E1,1.000000000E1
2.193472332E1,1.806417778E1,-6.656780899E1,9.251425285E1,4.800000000E1,0.000000000E0,NaN,4.738005711E-2,1.530612278E1,1.600000000E1,1.000000000E1
2.293428122E1,1.806422057E1,-6.656778384E1,1.025146289E2,5.800000000E1,0.000000000E0,NaN,4.920924215E-2,2.397959137E1,2.700000000E1,1.400000000E1
2.392856476E1,1.806421210E1,-6.656779868E1,9.251456406E1,4.800000000E1,5.999999642E-1,1.368999939E2,5.166830127E-2,1.479591846E1,2.100000000E1,1.700000000E1
2.492855053E1,1.806422187E1,-6.656781955E1,9.551467557E1,5.100000000E1,6.499999762E-1,2.852999878E2,5.304800166E-2,1.173469353E1,1.900000000E1,1.700000000E1
2.592854891E1,1.806421122E1,-6.656781284E1,9.351456950E1,4.900000000E1,3.199999928E-1,2.796000061E2,5.395870239E-2,1.071428585E1,1.700000000E1,1.800000000E1
2.692854725E1,1.806421021E1,-6.656780429E1,9.251455183E1,4.800000000E1,2.999999821E-1,2.796000061E2,5.417705242E-2,9.183673859E0,1.500000000E1,1.900000000E1
2.792854555E1,1.806421156E1,-6.656780580E1,9.051456584E1,4.600000000E1,8.700000048E-1,2.796000061E2,5.584953446E-2,9.693877220E0,1.500000000E1,1.900000000E1
2.892854382E1,1.806419928E1,-6.656779666E1,8.851444212E1,4.400000000E1,6.299999952E-1,2.796000061E2,5.717343296E-2,8.673469543E0,1.300000000E1,1.800000000E1
2.992854210E1,1.806420615E1,-6.656780689E1,8.751451630E1,4.300000000E1,3.599999845E-1,2.796000061E2,5.981062445E-2,8.163265228E0,1.200000000E1,1.900000000E1
3.092854042E1,1.806422434E1,-6.656782290E1,8.651470195E1,4.200000000E1,2.009999990E0,3.197000122E2,6.097388831E-2,8.163265228E0,1.200000000E1,2.000000000E1
3.192853873E1,1.806423352E1,-6.656782818E1,8.751479292E1,4.300000000E1,1.049999952E0,3.265000000E2,6.206117407E-2,7.653061390E0,1.200000000E1,1.900000000E1
3.292853711E1,1.806423620E1,-6.656783807E1,8.751482757E1,4.300000000E1,3.999999762E-1,3.313999939E2,6.373237303E-2,7.653061390E0,1.200000000E1,1.900000000E1
3.392853550E1,1.806422388E1,-6.656782902E1,8.651470354E1,4.200000000E1,1.999999955E-2,3.362999878E2,6.442222322E-2,7.653061390E0,1.200000000E1,1.900000000E1
3.492853381E1,1.806421855E1,-6.656782567E1,8.651465050E1,4.200000000E1,1.099999994E-1,3.362999878E2,6.552795185E-2,7.653061390E0,1.100000000E1,2.100000000E1
3.592853224E1,1.806420862E1,-6.656782516E1,8.751455708E1,4.300000000E1,4.099999964E-1,3.362999878E2,6.643186691E-2,7.142857075E0,1.100000000E1,2.100000000E1
3.692853056E1,1.806420875E1,-6.656781661E1,8.751455000E1,4.300000000E1,1.099999994E-1,3.362999878E2,6.707691037E-2,6.632653236E0,1.000000000E1,2.100000000E1
3.792852913E1,1.806421034E1,-6.656782248E1,8.651457057E1,4.200000000E1,7.000000030E-2,3.362999878E2,NaN,6.632653236E0,1.000000000E1,1.900000000E1
3.892852757E1,1.806421281E1,-6.656782198E1,8.751459322E1,4.300000000E1,0.000000000E0,NaN,NaN,7.142857075E0,1.000000000E1,1.800000000E1
