"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
4.252396200E-2,-2.186240005E1,-2.446100044E1,-1.521339989E1,3.616286237E1
5.252396200E-2,-2.192339897E1,-2.427799988E1,-1.522559929E1,3.608151292E1
6.252396200E-2,-2.206979942E1,-2.421699905E1,-1.512799931E1,3.608871642E1
7.252396200E-2,-2.213080025E1,-2.415600014E1,-1.516459942E1,3.610055038E1
8.252396200E-2,-2.211859894E1,-2.411940002E1,-1.504259968E1,3.601746356E1
9.252396200E-2,-2.210639954E1,-2.415600014E1,-1.505480003E1,3.603959277E1
1.025239620E-1,-2.214299965E1,-2.415600014E1,-1.509140015E1,3.607734933E1
1.125239620E-1,-2.210639954E1,-2.420479965E1,-1.489620018E1,3.600641618E1
1.225239620E-1,-2.211859894E1,-2.421699905E1,-1.473759937E1,3.595681156E1
1.325239620E-1,-2.203319931E1,-2.430239868E1,-1.456680012E1,3.589234068E1
1.425239620E-1,-2.198439980E1,-2.426580048E1,-1.456680012E1,3.583761394E1
1.525239620E-1,-2.197220039E1,-2.430239868E1,-1.450579929E1,3.583018818E1
1.625239620E-1,-2.205760002E1,-2.431459999E1,-1.451799965E1,3.589581877E1
1.725239620E-1,-2.215519905E1,-2.429019928E1,-1.446920013E1,3.591969346E1
1.825239620E-1,-2.221619987E1,-2.427799988E1,-1.442039967E1,3.592949682E1
1.925239620E-1,-2.236260033E1,-2.424139977E1,-1.450579929E1,3.602984276E1
2.025239620E-1,-2.241139984E1,-2.415600014E1,-1.461559963E1,3.604717656E1
2.125239620E-1,-2.261879921E1,-2.409499931E1,-1.472539997E1,3.618033269E1
2.225239620E-1,-2.270419884E1,-2.413159943E1,-1.474979973E1,3.626804830E1
2.325239620E-1,-2.278960037E1,-2.413159943E1,-1.472539997E1,3.631167003E1
2.425239620E-1,-2.281399918E1,-2.413159943E1,-1.466440010E1,3.630230405E1
2.525239620E-1,-2.269199944E1,-2.410719872E1,-1.459119987E1,3.617992513E1
2.625239620E-1,-2.264319992E1,-2.408279991E1,-1.456680012E1,3.612322549E1
2.725239620E-1,-2.258219910E1,-2.407059860E1,-1.451799965E1,3.605720104E1
2.825239620E-1,-2.261879921E1,-2.413159943E1,-1.446920013E1,3.610127312E1
2.925239620E-1,-2.258219910E1,-2.411940002E1,-1.437160015E1,3.603115408E1
3.025239620E-1,-2.256999969E1,-2.410719872E1,-1.426179981E1,3.597166732E1
3.125239620E-1,-2.254559898E1,-2.405839920E1,-1.431059933E1,3.594306413E1
3.225239620E-1,-2.252120018E1,-2.404619980E1,-1.431059933E1,3.591959682E1
3.325239620E-1,-2.260659981E1,-2.413159943E1,-1.421299934E1,3.599169065E1
3.425239620E-1,-2.256999969E1,-2.420479965E1,-1.410319996E1,3.597467806E1
3.525239620E-1,-2.249679947E1,-2.422920036E1,-1.409099960E1,3.594045640E1
3.625239620E-1,-2.243579865E1,-2.420479965E1,-1.401779938E1,3.585716228E1
3.725239620E-1,-2.237479973E1,-2.416819954E1,-1.402999973E1,3.579908413E1
3.825239620E-1,-2.237479973E1,-2.416819954E1,-1.406659985E1,3.581344389E1
3.925239620E-1,-2.236260033E1,-2.414379883E1,-1.401779938E1,3.577020568E1
4.025239620E-1,-2.236260033E1,-2.411940002E1,-1.409099960E1,3.578250439E1
4.125239620E-1,-2.233819962E1,-2.405839920E1,-1.423740005E1,3.578414865E1
4.225239620E-1,-2.235039902E1,-2.399740028E1,-1.431059933E1,3.578000573E1
4.325239620E-1,-2.244799995E1,-2.397299957E1,-1.438379955E1,3.585402488E1
4.425239620E-1,-2.238699913E1,-2.393639946E1,-1.433500004E1,3.577179301E1
4.525239620E-1,-2.239920044E1,-2.399740028E1,-1.426179981E1,3.579103707E1
4.625239620E-1,-2.239920044E1,-2.400959969E1,-1.420079994E1,3.577496019E1
4.725239620E-1,-2.243579865E1,-2.400959969E1,-1.421299934E1,3.580272739E1
4.825239620E-1,-2.253339958E1,-2.403400040E1,-1.418859959E1,3.587065137E1
4.925239620E-1,-2.256999969E1,-2.404619980E1,-1.417640018E1,3.589700452E1
5.025239620E-1,-2.263099861E1,-2.402179909E1,-1.417640018E1,3.591906530E1
5.125239620E-1,-2.271640015E1,-2.400959969E1,-1.418859959E1,3.596959926E1
5.225239620E-1,-2.288719940E1,-2.403400040E1,-1.429839993E1,3.613725656E1
5.325239620E-1,-2.286279869E1,-2.398519897E1,-1.442039967E1,3.613786463E1
5.425239620E-1,-2.291160011E1,-2.399740028E1,-1.445699978E1,3.619145594E1
