"Time (s)","Rotation x (rad/s)","Rotation y (rad/s)","Rotation z (rad/s)"
8.930722510E-1,-8.845328689E-1,1.959044814E0,-2.416582823E0
9.130607120E-1,-1.307251573E0,1.515556693E0,-2.921157598E0
9.330329810E-1,-1.806328535E0,1.812437177E0,-3.054937124E0
9.530568660E-1,-2.073887587E0,3.224146843E0,-2.450180531E0
9.730130190E-1,-1.934610248E0,3.770260334E0,-2.239432096E0
9.929962890E-1,-1.853976011E0,3.896098614E0,-2.467895508E0
1.012966481E0,-1.372003317E0,4.562552452E0,-2.682309389E0
1.032943135E0,-6.902777553E-1,4.634023666E0,-2.860071182E0
1.052916019E0,-1.637118906E-1,3.972456694E0,-2.773939133E0
1.072898058E0,7.330383174E-3,3.001791716E0,-2.516154051E0
1.092868519E0,-2.113593817E-1,2.050674677E0,-2.330451012E0
1.112847865E0,-4.996877611E-1,1.888184428E0,-2.283414364E0
1.132804750E0,-8.710938692E-1,2.258368731E0,-2.409252644E0
1.152789442E0,-1.287703991E0,2.290133715E0,-2.712241650E0
1.172761942E0,-1.663996935E0,1.900401831E0,-2.645046473E0
1.192785365E0,-1.707368374E0,1.731802940E0,-2.379320145E0
1.212756749E0,-1.634675384E0,1.431257248E0,-2.204001904E0
1.232739942E0,-1.403768301E0,1.505172014E0,-2.136806726E0
1.252708249E0,-1.100168347E0,1.582141042E0,-1.979203343E0
1.272682826E0,-1.146594048E0,9.737191796E-1,-2.039679050E0
1.292639518E0,-1.269377947E0,8.350527883E-1,-2.335948706E0
1.312623787E0,-1.154535294E0,1.219897866E0,-2.546086311E0
1.332595210E0,-9.688322544E-1,1.333518863E0,-2.585181713E0
1.352572210E0,-8.625417352E-1,6.536257863E-1,-2.568688393E0
1.372550095E0,-8.002334833E-1,3.555235863E-1,-2.299296856E0
1.392537902E0,-8.087855577E-1,3.543018401E-1,-2.097100496E0
1.412523172E0,-9.443976879E-1,2.162462920E-1,-1.982257724E0
1.432556595E0,-1.185078621E0,3.726277873E-2,-1.864971638E0
1.452529864E0,-1.397659659E0,-8.429940045E-2,-1.933388472E0
1.472528133E0,-1.472185254E0,-1.838704348E-1,-1.864360690E0
1.492525287E0,-1.430646420E0,-4.025602043E-1,-1.577254057E0
1.512505479E0,-1.371392488E0,-3.744603992E-1,-1.204626322E0
1.532481287E0,-1.350623012E0,-4.825835526E-1,-1.162476540E0
1.552466671E0,-1.215621829E0,-5.546656251E-1,-1.247386813E0
1.572437940E0,-8.985827565E-1,-1.057407737E0,-8.857545853E-1
1.592418556E0,-8.258898258E-1,-1.210734963E0,-6.188064814E-1
1.612372132E0,-8.026769161E-1,-8.240572214E-1,-3.604104817E-1
1.632354055E0,-8.203920126E-1,-4.911356568E-1,-1.777617931E-1
1.652321055E0,-8.155050874E-1,-5.345070958E-1,-2.138028294E-2
1.672341978E0,-7.312057018E-1,-5.381723046E-1,2.755002379E-1
1.692315555E0,-4.416555762E-1,-4.746423066E-1,5.277875662E-1
1.712298940E0,-7.941247895E-3,-5.082398653E-1,7.593054771E-1
1.732269286E0,4.899139404E-1,-4.318817258E-1,9.798278809E-1
1.752245670E0,9.388998747E-1,-1.478293836E-1,1.145983219E0
1.802178654E0,-2.791654170E-1,2.260201424E-1,9.578366876E-1
1.822174462E0,-4.135557711E-1,7.147123665E-2,1.074512005E0
1.842224461E0,-5.057964325E-1,-5.247332454E-1,1.312138557E0
1.862219115E0,-5.051855445E-1,-4.343251884E-1,1.365894675E0
1.882214154E0,-5.216789246E-1,-5.314527452E-2,1.378111959E0
1.902208269E0,-5.479460955E-1,2.156354338E-1,1.373835921E0
1.922162307E0,-5.595525503E-1,1.215621829E-1,1.472796082E0
1.942152730E0,-5.229006410E-1,-2.229658216E-1,1.561982393E0
1.962192230E0,-5.106833577E-1,-4.685336351E-1,1.476461291E0
1.982177653E0,-5.400048494E-1,-5.137376785E-1,1.377501130E0
2.002176730E0,-4.923573732E-1,-4.721988440E-1,1.377501130E0
2.022170884E0,-3.781255782E-1,-4.972442985E-1,1.397048831E0
2.042167884E0,-2.028072625E-1,-5.894849896E-1,1.361618638E0
2.062146422E0,-1.899790913E-1,-6.609562039E-1,1.277319193E0
2.082148961E0,-3.243694305E-1,-7.629706860E-1,1.145372391E0
2.102143114E0,-2.565633953E-1,-7.574728876E-2,9.761626720E-1
2.122133384E0,-1.392772794E-1,5.705481172E-1,4.593706727E-1
2.142119960E0,-1.673770845E-1,8.576548100E-1,-1.765400618E-1
2.162119345E0,-4.092797264E-2,4.886921942E-1,-2.278527319E-1
2.182101229E0,-2.443460934E-2,1.087340117E-1,1.679879427E-1
2.202137499E0,-2.284636050E-1,1.386664063E-1,5.180137157E-1
2.222101229E0,-2.767219543E-1,2.223549485E-1,5.070181489E-1
2.242098537E0,-2.907718420E-1,2.394591719E-1,7.947356701E-1
2.262083960E0,-4.697553813E-1,2.932153270E-2,1.277319193E0
2.282077383E0,-4.386012554E-1,-3.536909819E-1,1.327410221E0
2.302055575E0,-3.048217595E-1,-7.812966704E-1,1.155757070E0
2.322041306E0,-8.002334833E-2,-9.663888216E-1,9.920451641E-1
