"Frequency (Hz)","Rel. amplitude (a.u.)"
2.627176135E-1,9.352526253E-1
2.627176135E-1,9.359814633E-1
2.627176135E-1,9.359814633E-1
2.627176135E-1,9.384004487E-1
2.627176135E-1,9.404700256E-1
2.627176135E-1,9.404700256E-1
2.627176135E-1,9.401717304E-1
2.627176135E-1,9.390512418E-1
2.627176135E-1,9.383694914E-1
2.627176135E-1,9.383694914E-1
2.627176135E-1,9.385473046E-1
2.627176135E-1,9.385473046E-1
2.627176135E-1,9.363086963E-1
2.627176135E-1,9.346550165E-1
2.627176135E-1,9.346550165E-1
2.627176135E-1,9.365391085E-1
2.627176135E-1,9.388176843E-1
2.697961632E-1,9.157499561E-1
2.712580069E-1,9.148411135E-1
2.712580069E-1,9.148411135E-1
2.712580069E-1,9.192545574E-1
2.712580069E-1,9.185697010E-1
2.712580069E-1,9.169144118E-1
2.712580069E-1,9.152486828E-1
2.712580069E-1,9.152486828E-1
2.697961632E-1,9.170134610E-1
2.697961632E-1,9.170134610E-1
3.415934649E-1,7.243395560E-1
3.415934649E-1,7.254520688E-1
3.392777301E-1,7.311358012E-1
3.392777301E-1,7.317386460E-1
2.534054718E-1,9.817527402E-1
2.496147456E-1,1.000000000E0
2.496147456E-1,1.000000000E0
4.967528641E-1,5.855084614E-1
4.967528641E-1,5.863472326E-1
4.894684639E-1,5.963329590E-1
4.894684639E-1,5.963329590E-1
4.777875766E-1,6.125904240E-1
4.777875766E-1,6.125904240E-1
4.777875766E-1,6.118819455E-1
4.777875766E-1,6.108688473E-1
4.777875766E-1,6.098507366E-1
4.777875766E-1,6.088521758E-1
4.777875766E-1,6.088521758E-1
4.777875766E-1,6.078877273E-1
4.777875766E-1,6.070902874E-1
4.777875766E-1,6.065413524E-1
4.777875766E-1,6.062575550E-1
4.777875766E-1,6.062575550E-1
4.967528641E-1,5.831895088E-1
4.967528641E-1,5.835231706E-1
5.017309031E-1,5.788131994E-1
4.967528641E-1,5.872111639E-1
4.967528641E-1,5.905808484E-1
4.967528641E-1,5.905808484E-1
4.967528641E-1,5.945149759E-1
6.967284623E-1,4.278455884E-1
6.967284623E-1,4.330456737E-1
7.166813649E-1,4.257606463E-1
7.166813649E-1,4.303955993E-1
7.166813649E-1,4.348061414E-1
7.166813649E-1,4.385041651E-1
7.166813649E-1,4.385041651E-1
7.414517021E-1,4.278148127E-1
9.182620755E-1,3.490222292E-1
9.182620755E-1,3.520087711E-1
9.182620755E-1,3.520087711E-1
9.182620755E-1,3.539793225E-1
8.963477354E-1,3.643350450E-1
8.963477354E-1,3.656667213E-1
8.963477354E-1,3.665070884E-1
7.166813649E-1,4.593089123E-1
7.166813649E-1,4.593089123E-1
7.166813649E-1,4.600798385E-1
7.166813649E-1,4.597331325E-1
7.166813649E-1,4.590453941E-1
7.166813649E-1,4.583578198E-1
7.166813649E-1,4.580925405E-1
7.166813649E-1,4.583745771E-1
7.166813649E-1,4.582483080E-1
7.166813649E-1,4.576504991E-1
7.166813649E-1,4.576504991E-1
7.166813649E-1,4.569703559E-1
7.166813649E-1,4.562872657E-1
7.166813649E-1,4.556197740E-1
7.166813649E-1,4.549451648E-1
7.166813649E-1,4.549451648E-1
7.166813649E-1,4.543023987E-1
7.166813649E-1,4.537087393E-1
7.166813649E-1,4.531997540E-1
9.126839986E-1,3.559515404E-1
9.126839986E-1,3.559515404E-1
9.126839986E-1,3.571858699E-1
9.126839986E-1,3.571858699E-1
9.017313492E-1,3.614568022E-1
9.017313492E-1,3.612575585E-1
9.017313492E-1,3.612575585E-1
8.963477354E-1,3.643265449E-1
8.963477354E-1,3.643265449E-1
8.910312403E-1,3.679599918E-1
8.805735028E-1,3.743283572E-1
8.805735028E-1,3.743283572E-1
8.805735028E-1,3.762624045E-1
8.754383524E-1,3.797326791E-1
8.754383524E-1,3.802372792E-1
8.805735028E-1,3.780939004E-1
8.805735028E-1,3.780939004E-1
8.805735028E-1,3.783747108E-1
8.805735028E-1,3.783747108E-1
8.754383524E-1,3.807150398E-1
8.754383524E-1,3.806671627E-1
8.754383524E-1,3.803821627E-1
8.754383524E-1,3.799115195E-1
8.754383524E-1,3.794091922E-1
8.754383524E-1,3.789099334E-1
8.754383524E-1,3.789099334E-1
8.754383524E-1,3.784070595E-1
7.166813649E-1,4.616308959E-1
7.166813649E-1,4.610134005E-1
7.166813649E-1,4.603834387E-1
7.166813649E-1,4.598241552E-1
7.166813649E-1,4.594035834E-1
8.754383524E-1,3.758498174E-1
8.754383524E-1,3.758498174E-1
8.754383524E-1,3.756621478E-1
8.754383524E-1,3.755498446E-1
8.754383524E-1,3.755075652E-1
8.754383524E-1,3.756274103E-1
8.754383524E-1,3.757735900E-1
