"Time (s)","Pressure (hPa)"
1.096465300E-1,1.015099976E3
1.496452280E-1,1.015081238E3
1.896431970E-1,1.015062500E3
2.296465300E-1,1.015051208E3
2.696488740E-1,1.015043701E3
3.096454890E-1,1.015033752E3
3.496454890E-1,1.015027466E3
3.896431450E-1,1.015026245E3
4.296449680E-1,1.015016235E3
4.696457490E-1,1.015011230E3
5.096512180E-1,1.015008728E3
5.496449680E-1,1.015007507E3
5.896475720E-1,1.015007507E3
6.296496550E-1,1.015013733E3
6.696483530E-1,1.015009949E3
7.096431450E-1,1.015011230E3
7.496460100E-1,1.015008728E3
7.896506970E-1,1.015011230E3
8.296387180E-1,1.015005005E3
8.696488740E-1,1.015006226E3
9.096444470E-1,1.015007507E3
9.496527800E-1,1.015003723E3
9.896488740E-1,1.015002502E3
1.029646270E0,1.015006226E3
1.069642364E0,1.015003723E3
1.109639395E0,1.015001221E3
1.149642833E0,1.015003723E3
1.189642051E0,1.014998718E3
1.229638249E0,1.015002502E3
1.269632416E0,1.014994995E3
1.309640072E0,1.014991211E3
1.349647468E0,1.014988708E3
1.389651739E0,1.014989990E3
1.429643405E0,1.014993713E3
1.469643926E0,1.014997498E3
1.509646791E0,1.014997498E3
1.549643405E0,1.014991211E3
1.589643666E0,1.014997498E3
1.629648614E0,1.014994995E3
1.669646530E0,1.015000000E3
1.709644708E0,1.014993713E3
1.749646791E0,1.014997498E3
1.789648353E0,1.014997498E3
1.829647312E0,1.014993713E3
1.869644968E0,1.014989990E3
1.909644187E0,1.014988708E3
1.949643926E0,1.014991211E3
1.989646010E0,1.014988708E3
2.029644968E0,1.014988708E3
2.069646530E0,1.014993713E3
2.109638510E0,1.015000000E3
2.149645228E0,1.015003723E3
2.189646010E0,1.014993713E3
2.229646791E0,1.014989990E3
2.269647312E0,1.014991211E3
2.309643666E0,1.014987488E3
2.349644968E0,1.014989990E3
2.389645228E0,1.014984985E3
2.429648874E0,1.014991211E3
2.469642885E0,1.014991211E3
2.509644708E0,1.014996216E3
2.549648093E0,1.015000000E3
2.589649135E0,1.014998718E3
2.629650437E0,1.014997498E3
2.669643405E0,1.014998718E3
2.709643926E0,1.014996216E3
2.749648614E0,1.015002502E3
2.789640124E0,1.015008728E3
2.829639187E0,1.015009949E3
2.869632833E0,1.015009949E3
2.909639187E0,1.015009949E3
2.949639030E0,1.015006226E3
2.989637364E0,1.015000000E3
3.029638041E0,1.015000000E3
3.069630853E0,1.015005005E3
3.109633197E0,1.015002502E3
3.149642103E0,1.014997498E3
3.189642624E0,1.014996216E3
3.229646010E0,1.014994995E3
3.269644708E0,1.014993713E3
3.309644447E0,1.014993713E3
3.349643405E0,1.014989990E3
3.389645489E0,1.014987488E3
3.429645489E0,1.014993713E3
3.469645228E0,1.015000000E3
3.509643145E0,1.014994995E3
3.549643405E0,1.014997498E3
3.589635958E0,1.014991211E3
3.629648874E0,1.014991211E3
3.669646270E0,1.014991211E3
3.709644916E0,1.015000000E3
3.749647833E0,1.015001221E3
3.789644187E0,1.015002502E3
3.829647572E0,1.015002502E3
3.869646270E0,1.015001221E3
3.909641322E0,1.015008728E3
3.949645489E0,1.015009949E3
3.989644187E0,1.015006226E3
4.029648614E0,1.015007507E3
4.069646791E0,1.015011230E3
4.109644708E0,1.015011230E3
4.149647051E0,1.015012451E3
4.189646791E0,1.015008728E3
4.229647833E0,1.015002502E3
4.269644968E0,1.014994995E3
4.309645228E0,1.014996216E3
4.349646791E0,1.014997498E3
4.389646791E0,1.014996216E3
4.429646530E0,1.015003723E3
4.469645489E0,1.015000000E3
4.509647051E0,1.015002502E3
4.549646530E0,1.014997498E3
4.589641114E0,1.014994995E3
4.629645228E0,1.014998718E3
4.669643405E0,1.014992493E3
4.709642885E0,1.014994995E3
4.749642885E0,1.014987488E3
4.789637937E0,1.014994995E3
4.829643458E0,1.014989990E3
4.869642885E0,1.014993713E3
4.909643926E0,1.014996216E3
4.949643405E0,1.014989990E3
4.989643405E0,1.014991211E3
5.029644708E0,1.014986206E3
5.069643145E0,1.014983704E3
5.109642624E0,1.014984985E3
5.149643145E0,1.014984985E3
5.189645801E0,1.014983704E3
5.229644447E0,1.014979980E3
5.269643145E0,1.014979980E3
5.309643145E0,1.014981201E3
5.349645280E0,1.014977478E3
5.389643666E0,1.014974976E3
5.429645228E0,1.014978699E3
5.469643405E0,1.014977478E3
5.509644708E0,1.014973755E3
5.549644968E0,1.014977478E3
5.589652780E0,1.014976257E3
5.629644708E0,1.014984985E3
5.669648614E0,1.014984985E3
5.709646530E0,1.014986206E3
5.749652780E0,1.014983704E3
5.789649395E0,1.014983704E3
5.829647833E0,1.014979980E3
5.869646010E0,1.014977478E3
5.909644708E0,1.014972473E3
5.949642260E0,1.014969971E3
5.989649395E0,1.014972473E3
6.029643353E0,1.014972473E3
6.069645228E0,1.014972473E3
6.109644187E0,1.014976257E3
6.149644708E0,1.014977478E3
6.189646999E0,1.014977478E3
6.229643926E0,1.014978699E3
6.269644708E0,1.014977478E3
6.309643926E0,1.014978699E3
6.349643874E0,1.014982483E3
6.389643405E0,1.014981201E3
6.429644447E0,1.014979980E3
6.469644447E0,1.014981201E3
6.509643405E0,1.014983704E3
6.549643666E0,1.014982483E3
6.589643405E0,1.014983704E3
6.629644447E0,1.014982483E3
6.669644447E0,1.014977478E3
6.709644447E0,1.014978699E3
6.749646583E0,1.014978699E3
6.789646791E0,1.014982483E3
6.829644968E0,1.014982483E3
6.869644447E0,1.014988708E3
6.909650697E0,1.014984985E3
6.949647833E0,1.014982483E3
6.989646530E0,1.014981201E3
7.029645228E0,1.014976257E3
7.069646010E0,1.014976257E3
7.109646530E0,1.014976257E3
7.149646791E0,1.014973755E3
7.189646530E0,1.014977478E3
7.229648874E0,1.014982483E3
7.269646791E0,1.014982483E3
7.309646010E0,1.014982483E3
7.349647833E0,1.014982483E3
7.389647312E0,1.014984985E3
7.429646791E0,1.014992493E3
7.469647051E0,1.014992493E3
7.509646791E0,1.014993713E3
7.549648093E0,1.014996216E3
7.589647572E0,1.014994995E3
7.629646530E0,1.015000000E3
7.669646299E0,1.014996216E3
7.709646559E0,1.014994995E3
7.749645518E0,1.014996216E3
7.789644945E0,1.015005005E3
7.829645518E0,1.015011230E3
7.869646820E0,1.015012451E3
7.909630674E0,1.015022461E3
7.949643903E0,1.015018738E3
7.989646039E0,1.015023743E3
8.029654372E0,1.015019958E3
8.069648903E0,1.015012451E3
8.109644216E0,1.015006226E3
8.149647862E0,1.015012451E3
8.189649685E0,1.015013733E3
8.229641195E0,1.015012451E3
8.269635518E0,1.015009949E3
8.309646299E0,1.015011230E3
8.349649164E0,1.015013733E3
8.389648903E0,1.015016235E3
8.429644997E0,1.015019958E3
8.469645518E0,1.015017456E3
8.509645518E0,1.015023743E3
8.549648122E0,1.015027466E3
8.589648383E0,1.015026245E3
8.629648122E0,1.015023743E3
8.669646299E0,1.015019958E3
8.709646560E0,1.015016235E3
8.749635778E0,1.015017456E3
8.789649685E0,1.015016235E3
8.829649945E0,1.015017456E3
8.869648903E0,1.015018738E3
8.909643435E0,1.015024963E3
8.949637080E0,1.015024963E3
8.989648903E0,1.015023743E3
9.029645258E0,1.015026245E3
9.069644476E0,1.015023743E3
9.109644216E0,1.015019958E3
9.149644476E0,1.015016235E3
9.189645258E0,1.015018738E3
9.229644737E0,1.015019958E3
9.269643955E0,1.015016235E3
9.309644216E0,1.015018738E3
9.349644997E0,1.015026245E3
9.389644737E0,1.015033752E3
9.429646039E0,1.015036255E3
9.469647601E0,1.015034973E3
9.509643695E0,1.015032471E3
9.549638383E0,1.015029968E3
9.589645518E0,1.015032471E3
9.629643955E0,1.015028748E3
9.669643695E0,1.015029968E3
9.709643695E0,1.015034973E3
9.749639841E0,1.015033752E3
9.789643435E0,1.015034973E3
9.829643174E0,1.015029968E3
9.869643174E0,1.015031250E3
9.909644216E0,1.015034973E3
9.949645778E0,1.015026245E3
9.989650205E0,1.015031250E3
1.002964656E1,1.015026245E3
1.006964526E1,1.015023743E3
1.010964708E1,1.015019958E3
1.014964526E1,1.015018738E3
1.018964552E1,1.015008728E3
1.022964760E1,1.014998718E3
1.026964547E1,1.015000000E3
1.030964604E1,1.015005005E3
1.034964474E1,1.015007507E3
1.038964474E1,1.015011230E3
1.042964630E1,1.015011230E3
1.046964500E1,1.015018738E3
1.050964390E1,1.015017456E3
1.054964494E1,1.015017456E3
1.058964500E1,1.015016235E3
1.062964474E1,1.015014954E3
1.066964557E1,1.015016235E3
1.070964265E1,1.015014954E3
1.074964604E1,1.015018738E3
1.078964552E1,1.015018738E3
1.082964552E1,1.015022461E3
1.086964864E1,1.015022461E3
1.090964812E1,1.015031250E3
1.094964682E1,1.015036255E3
1.098965099E1,1.015036255E3
1.102964838E1,1.015034973E3
1.106964864E1,1.015032471E3
1.110965489E1,1.015028748E3
1.114965015E1,1.015022461E3
1.118964682E1,1.015022461E3
1.122965802E1,1.015024963E3
1.126965021E1,1.015022461E3
1.130964864E1,1.015022461E3
1.134964838E1,1.015021240E3
1.138965541E1,1.015011230E3
1.142963531E1,1.015017456E3
1.146964302E1,1.015014954E3
1.150963817E1,1.015013733E3
1.154964687E1,1.015006226E3
1.158964099E1,1.014998718E3
1.162964005E1,1.015003723E3
1.166964026E1,1.015007507E3
1.170964078E1,1.015008728E3
1.174964604E1,1.015019958E3
1.178964474E1,1.015019958E3
1.182964760E1,1.015017456E3
1.186964344E1,1.015019958E3
1.190965020E1,1.015016235E3
1.194964734E1,1.015018738E3
1.198964651E1,1.015017456E3
1.202964265E1,1.015019958E3
1.206964760E1,1.015017456E3
1.210964760E1,1.015017456E3
1.214964656E1,1.015016235E3
1.218964786E1,1.015014954E3
1.222964526E1,1.015008728E3
1.226964656E1,1.015007507E3
1.230963979E1,1.015014954E3
1.234963979E1,1.015016235E3
1.238964760E1,1.015019958E3
1.242964500E1,1.015011230E3
1.246964526E1,1.015021240E3
1.250965047E1,1.015011230E3
1.254964812E1,1.015016235E3
1.258964500E1,1.015013733E3
1.262965047E1,1.015019958E3
1.266964656E1,1.015017456E3
1.270964708E1,1.015017456E3
1.274964708E1,1.015016235E3
1.278964708E1,1.015014954E3
1.282964838E1,1.015016235E3
1.286964916E1,1.015014954E3
1.290964396E1,1.015026245E3
1.294964604E1,1.015024963E3
1.298964786E1,1.015024963E3
1.302965099E1,1.015019958E3
1.306964682E1,1.015022461E3
1.310963969E1,1.015022461E3
1.314964494E1,1.015016235E3
1.318965541E1,1.015017456E3
1.322964838E1,1.015014954E3
1.326963781E1,1.015016235E3
1.330964135E1,1.015012451E3
1.334963239E1,1.015017456E3
1.338963812E1,1.015018738E3
1.342963771E1,1.015023743E3
1.346964500E1,1.015019958E3
1.350964474E1,1.015022461E3
1.354964890E1,1.015026245E3
1.358964578E1,1.015028748E3
1.362964500E1,1.015027466E3
1.366964005E1,1.015026245E3
1.370964656E1,1.015026245E3
1.374963901E1,1.015024963E3
1.378964708E1,1.015023743E3
1.382964708E1,1.015026245E3
1.386964578E1,1.015024963E3
1.390964708E1,1.015018738E3
1.394964968E1,1.015013733E3
1.398964135E1,1.015012451E3
1.402964656E1,1.015013733E3
1.406964682E1,1.015012451E3
1.410964682E1,1.015009949E3
1.414964448E1,1.015006226E3
1.418964578E1,1.015001221E3
1.422964651E1,1.015001221E3
1.426964422E1,1.015009949E3
1.430964370E1,1.015001221E3
1.434964656E1,1.015007507E3
1.438964630E1,1.015001221E3
1.442964786E1,1.015000000E3
1.446964760E1,1.015000000E3
1.450963020E1,1.015002502E3
1.454964890E1,1.015002502E3
1.458964734E1,1.015002502E3
1.462964812E1,1.014992493E3
1.466964604E1,1.014988708E3
1.470964302E1,1.014988708E3
1.474964812E1,1.014993713E3
1.478964552E1,1.014994995E3
1.482964370E1,1.014997498E3
1.486964448E1,1.015000000E3
