"Time (s)","Velocity (m/s)","Gyroscope y (rad/s)"
3.764406100E-2,-7.092145681E-2,-1.418429136E0
7.758971400E-2,-7.092145681E-2,-1.418429136E0
1.175492530E-1,-4.801400900E-2,-9.602801800E-1
1.575139060E-1,-7.281513810E-2,-1.456302762E0
1.974540980E-1,-2.916881442E-2,-5.833762884E-1
2.373954440E-1,-7.147123218E-2,-1.429424644E0
2.773653670E-1,3.970623948E-4,7.941247895E-3
3.173357900E-1,-6.053674817E-2,-1.210734963E0
3.573260590E-1,-9.993755221E-2,-1.998751044E0
3.972753280E-1,-5.473352671E-2,-1.094670534E0
4.372402900E-1,-3.610213697E-2,-7.220427394E-1
4.772089820E-1,-4.416555762E-2,-8.833111525E-1
5.171623280E-1,-3.448334336E-2,-6.896668673E-1
5.571121740E-1,-1.673770845E-2,-3.347541690E-1
5.970698280E-1,4.184426963E-2,8.368853927E-1
6.370181740E-1,3.985895813E-2,7.971791625E-1
6.769709810E-1,2.272418737E-2,4.544837475E-1
7.169140190E-1,1.964542627E-1,3.929085255E0
7.569491350E-1,8.836165667E-2,1.767233133E0
7.969169040E-1,5.861251950E-2,1.172250390E0
8.368734420E-1,3.283400834E-2,6.566801667E-1
8.768101340E-1,-9.010262489E-2,-1.802052498E0
9.167639030E-1,-5.861251950E-2,-1.172250390E0
9.567372880E-1,1.573588848E-1,3.147177696E0
9.967255180E-1,3.366478443E-1,6.732956886E0
1.036670672E0,1.346041560E-1,2.692083120E0
1.076634403E0,1.048550248E-1,2.097100496E0
1.116596172E0,1.550681472E-1,3.101362944E0
1.156550633E0,-6.911939979E-2,-1.382387996E0
1.196489287E0,-6.307183504E-2,-1.261436701E0
1.216588210E0,-6.307183504E-2,-1.261436701E0
1.236565441E0,-6.307183504E-2,-1.261436701E0
1.276565441E0,0.000000000E0,0.000000000E0
1.316565441E0,-6.307183504E-2,-1.261436701E0
1.356565441E0,-6.307183504E-2,-1.261436701E0
1.396565441E0,-1.502728462E-2,-3.005456924E-1
1.436565441E0,-3.323107004E-1,-6.646214008E0
1.476565441E0,-3.281262636E-1,-6.562525272E0
1.516565441E0,-9.743300825E-3,-1.948660165E-1
1.556565441E0,-2.361910582E-1,-4.723821163E0
1.596565441E0,-3.959933996E-1,-7.919867992E0
1.636565441E0,7.431175709E-2,1.486235142E0
1.676565441E0,1.250441194E-1,2.500882387E0
